Perplexity Results for LSTM on ulysses
--------------------------------------------------------

Average Training Perplexity: 764.0636
Average Test Perplexity: 1845.8647

Test Set Perplexities:
Sentence 957: 8877.9821
Sentence 958: 34.6530
Sentence 959: 510.8185
Sentence 960: 8386.1354
Sentence 961: 130.3837
Sentence 962: 86.1509
Sentence 963: 1956.2216
Sentence 964: 2297.7569
Sentence 965: 5352.5333
Sentence 966: 3.1269
Sentence 967: 8318.5999
Sentence 968: 120.5168
Sentence 969: 6.7518
Sentence 970: 2380.6750
Sentence 971: 229.6965
Sentence 972: 5258.5307
Sentence 973: 241.7810
Sentence 974: 6017.6735
Sentence 975: 1530.8641
Sentence 976: 7.1005
Sentence 977: 4070.1423
Sentence 978: 3.4912
Sentence 979: 1.0569
Sentence 980: 6551.1223
Sentence 981: 4.0534
Sentence 982: 112.1055
Sentence 983: 125.5885
Sentence 984: 7282.8741
Sentence 985: 4863.1893
Sentence 986: 280.0837
Sentence 987: 144.3578
Sentence 988: 6227.5020
Sentence 989: 2242.7304
Sentence 990: 26.7095
Sentence 991: 14.8318
Sentence 992: 453.7036
Sentence 993: 1070.6182
Sentence 994: 42.0282
Sentence 995: 8354.7657
Sentence 996: 4299.3377
Sentence 997: 16.2989
Sentence 998: 2540.6147
Sentence 999: 8.8991
Sentence 1000: 1932.5710
Sentence 1001: 4.9588
Sentence 1002: 2786.0675
Sentence 1003: 2.2923
Sentence 1004: 8155.8964
Sentence 1005: 159.8489
Sentence 1006: 7342.7767
Sentence 1007: 6891.5074
Sentence 1008: 36.6000
